,id,name,race_horse_count,win_horse_count,race_count,win_count,grade_race_count,grade_race_win,stakes_race_count,stakes_race_win,general_race_count,general_race_win,turf_race_count,turf_race_win,dart_race_count,dart_race_win,win_ratio,earning_index,avg_turf_distance,avg_dart_distance
0,000a00033a,サンデーサイレンス,429,68,947,71,67,4,211,18,669,49,425,33,494,34,0.159,1.26,1781.8,1611.8
1,1998101516,アグネスタキオン,211,28,475,30,24,2,66,3,385,25,226,13,235,16,0.133,1.05,1815.4,1450.0
2,1998110135,クロフネ,191,26,407,28,23,1,69,10,315,17,161,16,232,12,0.136,1.11,1875.0,1691.7
3,1993109188,ダンスインザダーク,171,26,421,29,19,1,99,8,303,20,193,17,215,12,0.152,1.1,1658.8,1500.0
4,000a000082,ブライアンズタイム,187,22,431,24,11,2,86,5,334,17,137,10,287,14,0.118,0.89,1860.0,1507.1
5,2001103460,キングカメハメハ,140,28,333,30,16,1,56,7,261,22,147,20,181,9,0.2,1.15,1870.0,1644.4
6,1992109618,フジキセキ,220,25,498,26,12,1,84,4,402,21,153,6,339,20,0.114,0.71,1566.7,1585.0
7,000a00013a,フレンチデピュティ,180,22,389,22,18,1,67,2,304,19,136,9,245,13,0.122,0.87,1844.4,1661.5
8,1999110099,シンボリクリスエス,129,24,302,25,11,3,33,3,258,19,108,9,188,15,0.186,1.15,1666.7,1613.3
9,000a000134,フォーティナイナー,69,14,199,18,7,2,26,2,166,14,49,6,150,12,0.203,2.02,1900.0,1566.7
10,1995103211,スペシャルウィーク,152,20,339,23,14,0,70,6,255,17,135,9,195,14,0.132,0.82,1755.6,1578.6
11,1983109006,トニービン,85,12,203,12,14,1,50,3,139,8,130,6,65,5,0.141,1.22,1633.3,1760.0
12,000a001a98,Storm Cat,61,9,130,10,13,0,36,3,81,7,63,3,67,7,0.148,1.47,1533.3,1371.4
13,000a002071,Unbridled's Song,33,6,71,7,6,2,17,3,48,2,38,5,29,1,0.182,2.68,1920.0,1400.0
14,1990109700,ホワイトマズル,62,10,137,11,6,2,30,3,101,6,58,2,75,9,0.161,1.38,1800.0,1666.7
15,000a00010f,エンドスウィープ,50,12,104,15,5,0,33,7,66,8,46,6,56,9,0.24,1.52,1866.7,1711.1
16,2000101426,ネオユニヴァース,79,13,182,14,5,0,39,1,138,13,64,4,112,10,0.165,0.94,1550.0,1435.0
17,1989108341,サクラバクシンオー,114,11,256,12,6,0,46,4,204,8,114,5,135,7,0.096,0.63,1520.0,1378.6
18,1992190005,シングスピール,38,6,84,7,7,1,28,3,49,3,48,5,34,2,0.158,1.82,2100.0,1800.0
19,1998190004,ファルブラヴ,26,9,63,9,7,2,6,1,50,6,32,6,31,3,0.346,2.61,1500.0,1583.3
20,000a000013,アフリート,88,11,211,12,6,0,43,2,162,10,46,0,159,11,0.125,0.72,0.0,1563.6
21,000a00fd4c,ロックオブジブラルタル,39,6,80,6,9,1,22,3,49,2,46,5,32,1,0.154,1.53,1360.0,1400.0
22,1999100226,タニノギムレット,54,6,114,6,3,1,15,1,96,4,45,2,62,4,0.111,0.97,2200.0,1850.0
23,000a001849,Deputy Minister,16,5,33,6,4,2,6,1,23,3,7,2,26,4,0.313,3.24,1500.0,1450.0
24,1998101554,マンハッタンカフェ,89,11,189,12,3,0,21,2,165,10,64,5,117,5,0.124,0.58,1920.0,1760.0
25,1998101786,ジャングルポケット,63,8,134,8,8,0,13,1,113,7,67,4,66,4,0.127,0.79,1800.0,1500.0
26,000a00185d,Sadler's Wells,49,10,104,10,2,0,22,2,80,8,56,5,39,4,0.204,1.01,2220.0,1500.0
27,000a001d7e,Kingmambo,59,11,121,12,1,0,26,2,94,10,53,3,63,9,0.186,0.83,1733.3,1522.2
28,2002100816,ディープインパクト,78,9,164,9,6,0,23,2,135,7,93,7,67,2,0.115,0.62,1657.1,1500.0
29,000a002097,Mark of Esteem,4,1,5,2,2,2,0,0,3,0,3,2,1,0,0.25,12.07,1200.0,0.0
30,1995108676,グラスワンダー,38,6,81,6,7,1,19,1,55,4,32,3,49,3,0.158,1.25,1533.3,1666.7
31,1995108742,エルコンドルパサー,54,10,121,11,5,0,25,1,91,10,55,3,62,6,0.185,0.85,1933.3,1700.0
32,2000101517,ゼンノロブロイ,43,7,106,8,6,0,11,2,89,6,38,1,68,7,0.163,1.06,2000.0,1514.3
33,000a0000df,デヒア,32,6,69,6,3,1,18,2,48,3,25,2,43,4,0.188,1.42,2100.0,1400.0
34,1994109686,タイキシャトル,109,8,245,9,3,0,55,2,187,7,117,4,115,4,0.073,0.41,1350.0,1150.0
35,1997110025,アグネスデジタル,59,8,124,9,1,0,19,1,104,8,43,2,78,6,0.136,0.72,1600.0,1566.7
36,000a0001a7,ジェイドロバリー,39,8,90,8,1,0,19,1,70,7,28,3,52,4,0.205,1.03,2000.0,1375.0
37,1995108558,マイネルラヴ,40,5,91,5,5,1,17,1,69,3,46,2,40,2,0.125,0.99,1200.0,1800.0
38,000a000d69,スキャン,23,5,59,5,2,0,16,2,41,3,12,1,43,4,0.217,1.65,2500.0,1287.5
39,000a0000cc,ダンシングブレーヴ,31,5,77,5,3,0,20,1,54,4,25,2,48,3,0.161,1.22,1700.0,1566.7
40,1996106512,アドマイヤコジーン,13,3,38,3,3,1,9,0,26,2,18,2,20,1,0.231,2.88,1500.0,1800.0
41,000a00035c,サンダーガルチ,25,6,56,6,6,0,8,2,42,4,16,1,28,4,0.24,1.5,2000.0,1550.0
42,000a0022ea,Distorted Humor,20,5,42,6,3,1,17,1,22,4,21,2,21,4,0.25,1.87,1900.0,1425.0
43,000a011d8c,Flower Alley,2,2,6,2,2,1,1,0,3,1,6,2,0,0,1.0,18.62,2000.0,0.0
44,1993190001,エリシオ,28,5,59,6,3,1,18,0,38,5,30,3,27,3,0.179,1.28,1933.3,1433.3
45,000a0000b5,コロナドズクエスト,29,5,67,6,1,0,18,3,48,3,18,1,49,5,0.172,1.21,1400.0,1500.0
46,000a001c1d,Machiavellian,20,4,48,5,4,0,13,2,31,3,18,2,29,3,0.2,1.59,1600.0,1400.0
47,000a00035e,ティンバーカントリー,42,6,97,6,3,0,15,1,79,5,19,1,74,5,0.143,0.76,1600.0,1680.0
48,1996107396,アドマイヤベガ,39,8,86,9,0,0,13,1,73,8,35,3,50,6,0.205,0.81,1800.0,1525.0
49,1987107235,メジロマックイーン,34,5,72,5,5,0,19,2,48,3,44,3,26,2,0.147,0.9,1733.3,1500.0
50,000a0022af,Intikhab,5,1,9,1,3,1,3,0,3,0,6,1,3,0,0.2,6.02,2000.0,0.0
51,000a00232b,Galileo,12,4,31,5,1,1,4,0,26,4,20,5,11,0,0.333,2.5,1840.0,0.0
52,000a0000d1,デインヒル,24,3,62,3,6,0,10,2,46,1,30,2,32,1,0.125,1.25,1400.0,1800.0
53,000a0000b0,コマンダーインチーフ,44,4,100,4,1,0,17,1,82,3,49,2,49,2,0.091,0.63,1600.0,1400.0
54,000a00fcdd,More Than Ready,11,3,28,3,3,0,4,1,21,2,9,1,19,2,0.273,2.5,1200.0,1850.0
55,1993109219,バブルガムフェロー,45,6,89,6,1,0,13,1,75,5,27,0,62,6,0.133,0.61,0.0,1233.3
56,1999106689,ゴールドアリュール,33,9,84,11,0,0,12,1,72,10,22,3,61,8,0.273,0.83,1866.7,1512.5
