,id,alt_id,name
0,373126,b_0kejpXTUlkM,ノーザンファーム
1,810098,b_8ERFdXTEtGN,田上徹
2,253025,b_0kaVpXTElUM,ケイアイファーム
3,811540,b_8ERFhnTUF1d,ダーレー・ジャパン・ファーム
4,341126,b_0keRhXTUlkM,社台コーポレーション白老ファーム
5,410343,b_4ERFdXT6Fle,斉藤安行
6,080706,b_0ERndnT6FkM,North Hills Co. Limited
7,003512,b_0ERBpnTUVUe,新生ファーム
8,233071,b_0kaNpXTENGe,岡田スタッド
9,913124,b_8EVFpXTUlEM,下河辺牧場
10,910543,b_8EVFdnTUFle,アイズスタッド
11,710708,b_4keFdnT6FEN,Alexander - Groves - Matz LLC.
12,733085,b_4keNpXTEdWM,谷岡牧場
13,393126,b_0kerpXTUlkM,社台ファーム
14,800338,b_8ERBdXT61EN,隆栄牧場
15,700730,b_4keBdnT610d,Bell Tower Thoroughbreds
16,750708,b_4keVdnT6FEN,Town And Country Horse Farms LLC & Frank & Kim Taylor
17,400018,b_4ERBdXTEVEN,三嶋牧場
18,033305,b_0ERNpXT6FUM,フジワラファーム
19,330368,b_0keNdXT6lFN,山口明彦
20,900011,b_8EVBdXTEVEe,谷川牧場
21,790540,b_4kerdnTUF1d,新冠タガノファーム
22,704079,b_4keBBTTENWN,グランド牧場
23,530331,b_4EVNdXT61Ee,岩見牧場
24,500315,b_4EVBdXT6VUM,ハクツ牧場
25,690730,b_4kardnT610d,Highland Yard LLC
26,404124,b_4ERBBTTUlEM,シンボリ牧場
27,010317,b_0ERFdXT6V0M,村上雅規
28,433129,b_4ERNpXTUlUN,千代田牧場
29,900449,b_8EVBdnTEFVN,田上勝雄
30,903038,b_8EVBpXTE1EN,酒井牧場
31,503492,b_4EVBpnTEtWe,広中稔
32,230316,b_0kaNdXT6VkM,松本信行
33,541334,b_4EVRhXT61EM,奥山博
34,730036,b_4keNdXTE1kM,浦河小林牧場
35,810464,b_8ERFdnTElFM,ノースヒルズ
36,710303,b_4keFdXT6Fke,ビッグレッドファーム
37,630046,b_4kaNdXTEFlM,斉藤政志
38,713325,b_4keFpXT6lUM,本間牧場
39,733301,b_4keNpXT6FEe,藤川ファーム
40,930543,b_8EVNdnTUFle,レイクヴィラファーム
41,540705,b_4EVRdnT6FUM,Yuzo Tanimizu
42,533324,b_4EVNpXT6lEM,宝寄山忠則
43,724540,b_4keJBjTUF1d,チャンピオンズファーム
44,330512,b_0keNdnTUVUe,大狩部牧場
45,430333,b_4ERNdXT61ke,秋田牧場
46,910703,b_8EVFdnT6Fke,Alpha Delta Stables LLC
47,100032,b_0EVBdXTE1Ue,杵臼斉藤牧場
48,203065,b_0kaBpXTElVM,山際牧場
49,633085,b_4kaNpXTEdWM,棚川光男
50,110014,b_0EVFdXTEVEM,浦河土肥牧場
