,id,name,win_count,second_place_count,third_place_count,unplaced_count,grade_race_count,grade_race_win,stakes_race_count,stakes_race_win,general_race_count,general_race_win,turf_race_count,turf_race_win,dart_race_count,dart_race_win,win_ratio,in_second_place_ratio,in_third_place_ratio,prize
0,b_0kejpXTUlkM,ノーザンファーム,184,158,159,1029,162,16,430,61,938,107,1004,131,496,52,0.12,0.224,0.327,445896.6
1,b_0kerpXTUlkM,社台ファーム,107,109,96,986,73,4,266,22,959,81,660,50,608,54,0.082,0.166,0.24,213065.1
2,b_0keRhXTUlkM,社台コーポレーション白老ファーム,39,27,36,263,37,2,89,7,239,30,214,19,139,17,0.107,0.181,0.279,69328.1
3,b_8ERFhnTUF1d,ダーレー・ジャパン・ファーム,28,16,13,179,7,3,46,5,183,20,113,16,119,12,0.119,0.186,0.242,54057.3
4,b_8EVFpXTUlEM,下河辺牧場,21,16,17,194,11,1,55,6,182,14,112,10,129,10,0.085,0.149,0.218,41950.3
5,b_0kaNpXTENGe,岡田スタッド,15,16,10,217,11,1,44,0,203,14,122,4,115,9,0.058,0.12,0.159,31127.1
6,b_4ERBdXTEVEN,三嶋牧場,17,10,20,126,5,1,31,5,137,11,80,6,93,11,0.098,0.156,0.272,29642.3
7,b_0kaVpXTElUM,ケイアイファーム,9,16,4,49,10,1,21,3,47,5,47,7,30,2,0.115,0.321,0.372,26639.7
8,b_8ERFdnTElFM,ノースヒルズ,13,14,13,110,9,1,40,2,101,10,66,5,75,6,0.087,0.18,0.267,26182.4
9,b_4ERNpXTUlUN,千代田牧場,14,9,9,164,7,1,18,4,171,9,74,4,108,9,0.071,0.117,0.163,24661.2
10,b_0ERBdXTEVEM,辻牧場,12,8,20,84,8,0,35,1,81,11,64,2,58,10,0.097,0.161,0.323,24329.8
11,b_4keFdXT6Fke,ビッグレッドファーム,11,13,16,195,10,0,63,2,162,9,184,7,46,4,0.047,0.102,0.17,21864.2
12,b_0keBhnTUVke,追分ファーム,4,9,5,92,11,1,21,0,78,3,49,2,55,2,0.036,0.118,0.164,21697.6
13,b_0ERNpXT6FUM,フジワラファーム,11,10,14,105,15,2,24,2,101,7,50,5,86,6,0.079,0.15,0.25,20661.0
