,id,name,hair,birth_date,race_result,debut_weight,sales_price,relatives
0,2015105046,ラッキーライラック,栗毛,2015/4/3,4-1-0-0,480.0,,ラルク、ライラックローズ
1,2015104961,アーモンドアイ,鹿毛,2015/3/10,3-1-0-0,472.0,,スペルヴィア、ピュクシス
2,2015102440,エポカドーロ,黒鹿毛,2015/2/15,3-1-1-0,484.0,,ダイワインスパイア、ダイワフェーム
3,2015102367,ダノンプレミアム,青鹿毛,2015/4/3,4-0-0-0,476.0,,ロードプレミアム、ロードグランツ
4,2015105064,ステルヴィオ,鹿毛,2015/1/15,3-2-0-1,462.0,,ボルゲーゼ、カルナローリ
5,2015101621,タワーオブロンドン,鹿毛,2015/2/9,4-1-1-1,516.0,,スノーパインの2016
6,2015104107,タイムフライヤー,鹿毛,2015/2/1,3-2-0-2,456.0,,タイムアラウド、ボールドアテンプト
7,2015100258,サンリヴァル,鹿毛,2015/3/31,2-1-0-2,482.0,,ハグ、アンフィルージュの2016
8,2015110013,ジャンダルム,黒鹿毛,2015/4/25,2-1-1-1,480.0,,ファリダット、フィドゥーシア
9,2015101467,ジェネラーレウーノ,青鹿毛,2015/1/27,3-0-2-0,486.0,3240,メイサ、ピンナップ
10,2015104943,リリーノーブル,鹿毛,2015/3/15,2-1-2-0,502.0,,シャプレドサクレ、ピュアチャプレットの2013
11,2015105461,カツジ,鹿毛,2015/4/27,2-1-0-2,472.0,,ミッキーグローリー、ネミッサ
12,2015105022,ワグネリアン,鹿毛,2015/2/10,3-1-0-1,450.0,,テンダリーヴォイス、ミンネザング
13,2015101376,サトノワルキューレ,鹿毛,2015/2/2,3-0-1-0,462.0,,サトノファイヤー、サトノバリオス
14,2015101373,マウレア,鹿毛,2015/2/1,2-1-1-2,450.0,,アユサン、ミルクマン
15,2015100995,ドンフォルティス,栗毛,2015/4/9,4-1-1-0,484.0,1242,ラーナアズーラ、ナンベーサン
16,2015110032,アサクサゲンキ,鹿毛,2015/4/17,2-2-1-2,458.0,,ラビットラン
17,2015105872,カシアス,鹿毛,2015/3/27,2-2-1-3,476.0,,ディランディラン、コパノマーティン
18,2015104438,リバティハイツ,鹿毛,2015/3/23,2-1-1-1,452.0,,ディヴァインハイツ、リーチザハイツ
19,2015100344,ケイアイノーテック,鹿毛,2015/4/7,3-2-1-1,450.0,,Fierce Impact、クインズローズ
20,2015110096,ミスターメロディ,鹿毛,2015/3/29,3-2-0-1,474.0,,Aguilera
21,2015104189,ルヴァンスレーヴ,鹿毛,2015/1/26,3-1-0-0,486.0,,ネイヴァルベース
22,2015104882,ブラストワンピース,鹿毛,2015/4/2,3-0-0-0,520.0,,ヴィクトリアピース、ツルマルワンピースの2017
23,2015104176,フロンティア,栗毛,2015/4/5,2-0-1-3,454.0,,ドリームパスポート、セイクリッドセブン
24,2015105033,オウケンムーン,鹿毛,2015/3/14,3-0-0-2,466.0,,ルナプロスペクター、シーザムーンライト
25,2015110036,モルトアレグロ,青鹿毛,2015/2/1,3-1-0-2,468.0,,
26,2015104513,トーセンブレス,黒鹿毛,2015/3/5,1-1-0-3,466.0,6912,ブランクエンド、ブルーミンバーの2017
27,2015104582,ケイティクレバー,鹿毛,2015/4/20,2-2-2-4,438.0,540,ロイヤルテーラー、ポルーニン
28,2015103350,カンタービレ,鹿毛,2015/3/6,2-2-0-0,434.0,,ソナチネ、サターン
29,2015106153,サトノフェイバー,黒鹿毛,2015/4/8,2-0-0-0,526.0,,パーリオミノル、サトノロブロイ
30,2015105036,プリモシーン,青鹿毛,2015/4/27,2-1-0-2,470.0,,キャリコ、パロネラ
31,2015105073,テトラドラクマ,鹿毛,2015/2/16,2-1-0-3,468.0,,プリンセスラグーン、セプタリアン
32,2015102248,ヤマノファイト,鹿毛,2015/3/1,7-1-1-3,500.0,,ブラックブリーズ、ヤマノミラクル
33,2015104976,グレイル,黒鹿毛,2015/3/7,2-0-0-2,494.0,6048,ロジチャリス、グッドスカイ
34,2015103140,タイセイプライド,青鹿毛,2015/3/25,3-0-0-2,502.0,1836,フクノドリーム、ウィズインライアン
35,2015100513,アイトーン,鹿毛,2015/3/30,3-0-0-4,482.0,,タガノブルグ、アリッサム
36,2015105610,ハヤブサマカオー,栗毛,2015/3/3,3-0-0-2,460.0,,プリモパンサー、ハヤブサエミネンスの2017
37,2015104765,ノームコア,芦毛,2015/2/25,2-0-2-0,436.0,2376,ハピネスダンサー、ナオミノユメ
38,2015100097,テンクウ,黒鹿毛,2015/3/26,2-0-1-2,444.0,,イブキ、ファインドヌーヴ
39,2015104721,アンコールプリュ,黒鹿毛,2015/4/17,2-1-0-2,426.0,,ブラックシェル、ダブルティンパニー
40,2015104185,ロックディスタウン,栗毛,2015/2/15,2-0-0-3,490.0,,ワンブレスアウェイ、ナリタキングパワー
41,2015104165,アンヴァル,鹿毛,2015/1/28,3-0-1-2,462.0,,オールザゴー、アーマークラッド
42,2015104664,パイオニアバイオ,鹿毛,2015/3/3,1-5-1-2,412.0,,アニメイトバイオの2016、アニメイトバイオの2017
43,2015105615,ストロングハート,栗毛,2015/5/22,3-2-2-3,,,アップトゥユー、マリーンワン
44,2015104542,ハーレムライン,鹿毛,2015/2/20,3-1-2-2,458.0,,マイディアサン、ナリタマクリス
45,2015104987,キタノコマンドール,鹿毛,2015/2/12,2-0-0-1,494.0,2520,デニムアンドルビー、ラーゴブルー
46,2015104662,アンフィトリテ,鹿毛,2015/3/29,3-0-0-0,464.0,,シャインレッド、シラユキ
47,2015104663,ベルーガ,青毛,2015/2/11,2-0-0-0,482.0,4860,プロフェッショナル、ヴィヴィッドカラー
