,id,name,crop_count,crop_win_count,crop_grade_horse_count,crop_grade_win_count
0,000a011df8,ライラックスアンドレース,5,7,1,3
1,2003103043,フサイチパンドラ,9,10,1,2
2,2003101283,ダイワパッション,7,11,1,1
3,000a011a94,インディアナギャル,6,7,1,3
4,2005102452,ラルケット,4,5,1,1
5,000a012804,スノーパイン,2,4,1,2
6,2004102771,タイムトラベリング,8,14,1,1
7,2007104401,アンフィルージュ,4,2,0,0
8,1998101038,ビリーヴ,6,19,1,1
9,2008105674,シャンハイロック,5,5,1,1
10,2006103306,ピュアチャプレット,5,5,0,0
11,2004104138,メリッサ,4,7,1,1
12,2006103348,ミスアンコール,6,7,1,1
13,000a012504,ヒアトゥウィン,4,4,1,1
14,000a010e97,バイザキャット,9,23,1,1
15,2007103011,グロッタアズーラ,4,7,1,1
16,000a012d52,Amelia,2,5,2,2
17,2009103765,ラブディラン,4,2,1,1
18,000a011de0,ドバウィハイツ,5,3,1,1
19,2006104463,ケイアイガーベラ,4,2,0,0
20,000a0130d3,Trusty Lady,2,3,1,1
21,2006102778,マエストラーレ,2,3,1,1
22,2008101894,ツルマルワンピース,3,3,1,1
23,1998101676,グレースランド,12,21,2,3
24,2001103298,ムーンフェイズ,8,10,1,1
25,000a013668,Mo Chuisle,1,3,0,0
26,2005102305,ブルーミンバー,3,1,0,0
27,2009106047,モルトフェリーチェ,3,2,0,0
28,000a01251d,シャンロッサ,3,2,1,1
29,000a0117f9,ヴィヴァシャスヴィヴィアン,8,11,1,1
30,000a01216a,モシーン,4,2,1,1
31,2007103327,リビングプルーフ,4,3,1,1
32,2005104768,ケイアイリード,6,20,0,0
33,2006110001,プラチナチャリス,5,12,3,3
34,1999101675,キャニオンリリー,9,44,1,1
35,2005107041,スペシャルディナー,8,11,0,0
36,2007110009,ハヤブサエミネンス,3,3,1,1
37,2003103047,クロノロジスト,9,18,0,0
38,2005102226,ピサノドヌーヴ,5,11,0,0
39,1998102634,オイスターチケット,13,21,0,0
40,1999106931,ストレイキャット,10,27,3,3
41,2003102704,アルーリングボイス,6,13,0,0
42,2007103393,アニメイトバイオ,3,1,0,0
43,2008100289,ファーストレディ,3,5,1,1
44,1997103519,マクリス,10,34,0,0
45,2006103329,ベネンシアドール,8,16,1,2
46,2003102923,アドマイヤフッキー,6,9,0,0
47,1996107401,アドマイヤライト,12,13,1,1
48,2005102429,カクテルラウンジ,6,10,0,0
49,2000104273,メイショウマンテン,9,11,0,0
50,000a01250f,スピニングワイルドキャット,4,3,0,0
51,000a0139ec,Town Belle,1,3,0,0
52,1999107050,プロミストスパーク,11,22,0,0
53,2010109015,キャプテンガール,3,2,0,0
54,2004102681,メジロルーシュバー,4,3,0,0
55,2001104218,グローバルピース,9,17,2,6
56,000a0120cc,コンテスティッド,4,3,0,0
57,2007110107,エリドゥバビロン,6,13,0,0
58,2004110239,コスモパルムドール,6,23,0,0
59,2001104254,サウンドザビーチ,5,5,0,0
60,2008110005,アンティフォナ,4,3,0,0
61,2000110186,ダークサファイア,9,18,0,0
62,2000103853,エミリア,7,18,0,0
63,2000107180,タイキアヴェニュー,8,18,0,0
64,2004106632,ハロードリーム,6,20,0,0
65,1997100005,サクラサクII,12,22,1,2
66,000a0120ed,ジプシーハイウェイ,4,2,0,0
67,000a012fc7,ジョリージョコンド,3,1,0,0
68,2003102866,ロレットチャペル,7,15,0,0
69,2003100810,ラブハート,4,17,1,1
70,2007103269,ウィルパワー,3,2,0,0
71,2007103594,レディアルバローザ,4,5,0,0
72,2010105141,メイショウガンツ,3,1,0,0
73,2009100187,ラトーヌインパクト,3,2,0,0
74,2008102738,ラプターセイハート,6,13,0,0
75,2010104475,ヴェントス,3,1,0,0
76,1997103540,オリエンタルアート,11,35,2,18
77,2007104916,マイネテレジア,5,9,0,0
78,2001104889,ハートフルビコー,12,31,0,0
79,2007102835,カメリアビジュ,3,4,0,0
80,2003105092,ネオカラー,8,9,0,0
81,000a01151c,スモークンフローリック,6,18,1,3
82,2008102538,メジロツボネ,3,1,0,0
83,2010110012,レッドファンタジア,3,2,0,0
84,2004104258,ウオッカ,5,6,0,0
85,2007101643,ウィルシャー,4,5,0,0
86,1997105204,シルクプリマドンナ,10,19,0,0
87,2006104791,カウアイレーン,5,4,0,0
88,2010103806,ヤマノアイリー,3,1,0,0
89,2004102891,エンプレスティアラ,9,8,0,0
90,2007104124,フェニックスワン,2,5,0,0
91,2007100718,ロジディオン,3,3,0,0
92,000a010eb1,シルヴァーカップ,10,20,0,0
93,000a01366e,Christies Treasure,1,2,0,0
94,2008100755,ルアス,4,4,0,0
95,000a011a16,トゥーピー,7,11,2,2
96,2006103398,ミクロコスモス,4,4,0,0
97,2006104051,エイブルアロー,5,6,0,0
98,2004105725,レディセラヴィ,6,12,0,0
99,1996105169,アップルトウショウ,16,28,0,0
100,2002102685,サザンギフト,7,31,0,0
101,2002105367,シルキーウィズ,11,12,0,0
102,2006103401,ナパ,4,3,0,0
103,2005101297,アイリスモレア,8,10,0,0
104,2006100448,ハウオリ,3,9,0,0
105,1998106179,エミネントシチー,6,23,1,12
106,2009101088,マンハッタンミート,2,2,0,0
107,2008103351,アドマイヤアロング,3,2,0,0
108,000a01122f,データ,8,9,0,0
109,2009102615,アッシュベリー,4,3,0,0
110,2000190003,アイランドファッション,8,6,0,0
111,2004103222,カタマチボタン,6,3,0,0
112,000a012d45,ワイルドココ,3,2,0,0
113,2001101708,キョウワハピネス,8,9,0,0
114,2006100647,コウエイテンプウ,3,3,0,0
115,1998107103,エリモピクシー,9,32,4,11
116,2007103127,ギンザボナンザ,4,2,0,0
117,000a0121c3,サロミナ,4,3,0,0
118,000a01056a,ラグジャリー,12,12,2,2
119,2011105750,トゥファーアウェイ,3,1,0,0
120,2003102686,サウンドバイト,4,6,0,0
121,000a0124d0,オーサムフェザー,4,2,0,0
122,2009106289,トーコーユズキ,3,2,0,0
123,2005102526,ココシュニック,6,9,1,1
124,000a01395f,Sweet Seventeen,1,1,0,0
125,2001110158,フェミニンガール,7,6,0,0
126,000a0124bd,プラウドスペル,4,5,0,0
127,000a011e0a,オーヴァーアンダー,4,3,0,0
128,2009105755,セコンドピアット,3,1,0,0
129,2007102873,ミラクルレジェンド,4,4,0,0
130,000a010e5b,マウンテンミステリー,11,10,0,0
