,id,name,win_count,second_place_count,third_place_count,unplaced_count,grade_race_count,grade_race_win,stakes_race_count,stakes_race_win,general_race_count,general_race_win,turf_race_count,turf_race_win,dart_race_count,dart_race_win,win_ratio,in_second_place_ratio,in_third_place_ratio,prize
0,o_0kaJJzTEF0d,サンデーレーシング,43,29,35,201,35,5,79,8,194,30,223,28,80,15,0.14,0.234,0.347,104215.7
1,o_4EVBJzTEF0d,シルクレーシング,32,29,23,156,25,6,63,8,152,18,164,23,75,9,0.133,0.254,0.35,81258.9
2,o_4ERnJzTEF0d,キャロットファーム,28,29,29,196,32,1,86,10,164,17,207,24,73,4,0.099,0.202,0.305,63561.3
3,o_4ERFFzTEF0d,社台レースホース,27,31,25,218,21,1,69,7,211,19,166,16,127,9,0.09,0.193,0.276,56277.7
4,o_0ERBpXTEl1d,ゴドルフィン,27,13,14,144,7,3,36,5,155,19,98,16,98,11,0.136,0.202,0.273,52252.5
5,o_4EVRJzTEF0d,サラブレッドクラブ・ラフィアン,22,22,21,236,19,0,83,7,199,15,187,10,94,8,0.073,0.146,0.216,45430.9
6,o_4EVJpXTEFUM,松本好雄,31,19,22,256,6,0,67,5,255,26,95,3,220,25,0.095,0.152,0.22,42688.2
7,o_0ERjFzTEFke,サトミホースカンパニー,13,12,12,55,11,2,22,6,59,5,60,8,27,5,0.141,0.272,0.402,38929.5
8,o_8ERBRzTEF0d,Ｇ１レーシング,15,21,17,105,15,1,31,1,112,13,80,8,72,7,0.095,0.228,0.335,36498.2
9,o_4kerdXTEFUM,吉田勝己,15,14,12,81,9,1,39,6,74,8,83,10,38,5,0.123,0.238,0.336,33410.4
10,o_0EVnd3TEF0d,東京ホースレーシング,11,12,13,89,14,0,40,5,71,6,78,9,42,2,0.088,0.184,0.288,28351.6
11,o_4keBRzTEF0d,金子真人ホールディングス,10,17,14,68,11,0,40,4,58,6,76,8,31,2,0.092,0.248,0.376,28113.3
12,o_4EVRNzTEF0d,ヒダカ・ブリーダーズ・ユニオン,7,9,7,94,6,1,24,1,87,5,48,4,63,3,0.06,0.137,0.197,26890.9
13,o_0EVjd3TEF0d,ロードホースクラブ,11,15,9,66,9,0,30,4,62,7,61,8,40,3,0.109,0.257,0.347,25304.6
14,o_8EVRRTTEFkM,前田幸治,10,7,6,64,11,1,28,2,48,7,34,1,45,9,0.115,0.195,0.264,24963.7
15,o_4ERrBzTEF0d,ウイン,10,9,10,131,6,1,37,3,117,6,105,5,49,5,0.062,0.119,0.181,24429.1
16,o_8ERnNzTEF0d,ＮＩＣＫＳ,4,1,2,13,2,2,3,1,15,1,13,2,7,2,0.2,0.25,0.35,21687.2
17,o_4kaFVzTEF0d,ダノックス,10,4,6,58,7,1,20,5,51,4,46,6,29,4,0.128,0.179,0.256,21639.9
18,o_0EVNRTTEF0M,吉田和美,14,5,7,50,3,0,21,4,52,10,38,7,34,6,0.184,0.25,0.342,19915.8
19,o_0kenlXTEFEM,永井啓弍,8,10,11,95,7,0,33,1,84,7,50,2,63,6,0.065,0.145,0.234,19222.9
20,o_0ERRFzTEFke,カナヤマホールディングス,10,5,8,68,6,1,20,3,65,6,42,4,49,6,0.11,0.165,0.253,18959.2
21,o_0kajdXTEFkM,島川隆哉,9,9,9,82,10,0,21,3,78,6,62,2,43,7,0.083,0.165,0.248,18095.5
22,o_4EVFBTTEFEN,窪田康志,7,2,5,30,5,1,12,3,27,3,19,2,23,5,0.159,0.205,0.318,17788.2
23,o_4kenRzTEF0d,ノースヒルズ,13,10,7,100,4,0,24,2,102,11,49,4,73,5,0.1,0.177,0.231,16448.8
24,o_4EVNBTTEFkM,寺田千代乃,4,5,1,11,2,2,8,2,11,0,15,4,5,0,0.19,0.429,0.476,15418.5
25,o_4EVnRTTEFkM,山田和正,3,0,1,2,2,2,1,0,3,1,1,0,5,3,0.5,0.5,0.667,15185.6
26,o_8ERVBzTEF0d,ノルマンディーサラブレッドレーシング,9,5,7,115,4,0,20,1,112,8,52,3,80,5,0.066,0.103,0.154,14883.7
27,o_8ERrNTTEFUN,西山茂行,9,8,10,115,5,0,22,2,115,7,68,3,67,5,0.063,0.12,0.19,14634.6
28,o_0keVJTTEFUe,竹園正繼,5,3,8,102,5,1,16,1,97,3,32,0,78,5,0.042,0.068,0.136,14576.4
29,o_8ERVVTTEFUe,八木良司,7,10,9,100,1,0,33,2,92,5,41,1,82,5,0.056,0.135,0.206,14406.6
30,o_0ERBFzTEFke,キャピタル・システム,5,9,3,28,4,0,9,2,32,3,9,1,32,4,0.111,0.311,0.378,14348.3
31,o_0keNdXTEF0M,杉澤光雄,4,1,2,19,2,1,8,2,16,1,13,3,13,1,0.154,0.192,0.269,13551.2
32,o_0kerRTTEFUe,近藤利一,7,4,8,65,2,0,29,3,53,4,56,6,22,1,0.083,0.131,0.226,13424.6
33,o_0ERVh3TEFke,ＫＴレーシング,6,5,3,66,4,1,13,2,63,3,31,4,49,2,0.075,0.138,0.175,12740.9
34,o_8ERjl3TEF0d,三田昌宏,5,3,5,21,3,1,10,0,21,4,8,1,23,3,0.147,0.235,0.382,12432.2
35,o_8ERVhXTEFUN,岡田牧雄,7,11,4,133,7,0,31,1,117,6,69,2,77,5,0.045,0.116,0.142,11627.4
36,o_0keFdXTEF0M,吉田千津,7,3,5,44,2,0,9,3,48,4,27,5,32,2,0.119,0.169,0.254,11531.4
37,o_0kaJBTTEF0M,田中成奉,5,7,8,56,4,0,22,2,50,3,24,3,51,2,0.066,0.158,0.263,11509.1
38,o_0keBJTTEFEN,松岡隆雄,7,8,4,52,3,0,10,0,58,7,15,1,56,6,0.099,0.211,0.268,11171.6
