,id,name,race_horse_count,win_horse_count,race_count,win_count,grade_race_count,grade_race_win,stakes_race_count,stakes_race_win,general_race_count,general_race_win,turf_race_count,turf_race_win,dart_race_count,dart_race_win,win_ratio,earning_index,prize,avg_turf_distance,avg_dart_distance
0,2002100816,ディープインパクト,319,63,667,71,88,7,203,28,376,36,565,68,85,3,0.197,1.87,1860.3,1860.3,1800.0
1,2001103038,ハーツクライ,238,46,540,50,26,4,126,13,388,33,340,39,185,10,0.193,1.45,1907.7,1907.7,1780.0
2,2001103460,キングカメハメハ,215,40,466,44,56,3,136,6,274,35,200,18,249,24,0.186,1.56,1722.2,1722.2,1795.8
3,1994108729,ステイゴールド,195,32,456,34,37,4,138,15,281,15,349,28,85,4,0.164,1.7,2032.1,2032.1,1675.0
4,2001103114,ダイワメジャー,193,32,426,33,33,2,118,9,275,22,262,20,159,13,0.166,1.32,1520.0,1520.0,1557.7
5,000a011996,ハービンジャー,144,24,322,30,25,2,90,13,207,15,246,26,71,2,0.167,1.73,1923.1,1923.1,2100.0
6,1998110135,クロフネ,147,29,346,31,14,2,61,5,271,24,77,2,251,25,0.197,1.32,1400.0,1400.0,1566.0
7,2007103143,ルーラーシップ,154,28,337,28,17,2,61,7,259,19,188,17,143,10,0.182,1.24,2011.8,2011.8,1760.0
8,2008103552,ロードカナロア,121,24,245,27,18,3,21,2,206,22,159,17,86,10,0.198,1.37,1482.4,1482.4,1385.0
9,1998101554,マンハッタンカフェ,132,26,292,30,10,0,78,5,204,25,156,15,133,15,0.197,1.2,1693.3,1693.3,1630.0
10,000a010542,エンパイアメーカー,134,33,303,35,5,1,54,5,244,29,33,3,264,32,0.246,1.04,1533.3,1533.3,1678.1
11,2003110212,キンシャサノキセキ,131,20,309,23,3,0,74,5,232,18,104,3,196,20,0.153,1.02,1533.3,1533.3,1352.5
12,2008102636,オルフェーヴル,108,15,205,17,8,2,6,1,191,14,141,11,64,6,0.139,1.23,1781.8,1781.8,1783.3
13,2003102991,アドマイヤムーン,90,12,194,13,17,3,49,4,128,6,113,11,68,1,0.133,1.44,1445.5,1445.5,1200.0
14,1999106689,ゴールドアリュール,156,22,348,22,12,0,48,4,288,18,28,1,311,20,0.141,0.83,1200.0,1200.0,1565.0
15,2000101426,ネオユニヴァース,114,14,244,15,1,0,58,4,185,11,87,3,145,11,0.123,0.76,1533.3,1533.3,1663.6
16,2000101517,ゼンノロブロイ,111,13,242,16,6,1,59,3,177,12,95,7,121,6,0.117,0.78,1628.6,1628.6,1533.3
17,2004103328,スクリーンヒーロー,57,9,130,11,8,1,17,4,105,6,70,6,60,5,0.158,1.49,1633.3,1633.3,1520.0
18,2002100978,カネヒキリ,78,13,194,15,6,0,21,2,167,13,4,0,180,15,0.167,1.08,0.0,0.0,1686.7
19,1996110138,サウスヴィグラス,106,20,263,21,0,0,50,1,213,20,9,0,247,21,0.189,0.77,0.0,0.0,1369.1
20,000a011099,シニスターミニスター,74,11,161,12,4,0,31,5,126,7,8,0,149,12,0.149,1.04,0.0,0.0,1391.7
21,1999110099,シンボリクリスエス,111,10,258,10,7,0,33,2,218,8,89,2,156,8,0.09,0.69,1900.0,1900.0,1600.0
22,1998101786,ジャングルポケット,63,9,145,10,6,0,42,7,97,3,81,6,57,3,0.143,1.16,1700.0,1700.0,1900.0
23,2001103312,ブラックタイド,89,15,230,15,12,0,40,3,178,12,111,3,103,10,0.169,0.8,1333.3,1333.3,1650.0
24,000a011155,ヘニーヒューズ,88,17,202,17,3,0,19,3,180,14,26,1,176,16,0.193,0.8,1600.0,1600.0,1368.8
25,000a01176a,パイロ,77,11,205,11,5,0,32,0,168,11,33,1,164,10,0.143,0.91,1400.0,1400.0,1500.0
26,2003102205,メイショウサムソン,58,5,148,5,12,1,29,2,107,2,64,2,78,1,0.086,1.14,1900.0,1900.0,1400.0
27,000a010a10,ロージズインメイ,63,8,147,11,9,0,22,2,116,9,29,4,108,7,0.127,1.02,1825.0,1825.0,1292.9
28,000a0103b9,ヨハネスブルグ,82,13,180,15,5,0,22,3,153,12,50,3,130,12,0.159,0.78,1333.3,1333.3,1345.8
29,2009105084,ディープブリランテ,85,11,202,11,6,1,22,1,174,9,97,5,103,6,0.129,0.75,1560.0,1560.0,1633.3
30,1997110025,アグネスデジタル,44,8,105,8,4,0,37,2,64,6,22,1,80,7,0.182,1.37,1400.0,1400.0,1485.7
31,000a011ed3,アイルハヴアナザー,76,16,187,17,0,0,14,0,173,17,56,3,130,14,0.211,0.77,1866.7,1866.7,1478.6
32,2005110112,カジノドライヴ,43,12,101,12,0,0,22,4,79,8,11,0,90,12,0.279,1.32,0.0,0.0,1641.7
