,id,name,stable,win_count,second_place_count,third_place_count,unplaced_count,grade_race_count,grade_race_win,stakes_race_count,stakes_race_win,general_race_count,general_race_win,turf_race_count,turf_race_win,dart_race_count,dart_race_win,win_ratio,in_second_place_ratio,in_third_place_ratio,prize
0,01055,藤原英昭,栗東,29,19,8,40,19,3,29,13,48,13,74,22,18,7,0.302,0.5,0.583,68888.9
1,01053,角居勝彦,栗東,20,17,10,66,13,2,42,3,58,15,89,16,22,4,0.177,0.327,0.416,35927.1
2,00438,安田隆行,栗東,17,17,7,81,6,0,18,2,98,15,55,6,65,11,0.139,0.279,0.336,23462.9
3,01075,矢作芳人,栗東,17,7,18,121,13,1,53,7,97,9,97,12,63,5,0.104,0.147,0.258,37576.3
4,01126,木村哲也,美浦,15,7,5,40,11,2,12,3,44,10,50,13,15,1,0.224,0.328,0.403,27403.7
5,01049,南井克巳,栗東,15,5,6,68,6,1,29,4,59,10,29,4,55,9,0.16,0.213,0.277,22285.6
6,00411,浅見秀一,栗東,14,10,9,78,3,2,26,2,82,10,48,5,59,7,0.126,0.216,0.297,30111.7
7,01137,中内田充正,栗東,14,8,10,36,6,2,24,3,38,9,33,7,35,7,0.206,0.324,0.471,29130.2
8,01058,大久保龍志,栗東,13,12,9,56,1,0,26,1,63,12,54,5,34,6,0.144,0.278,0.378,17993.4
9,01061,友道康夫,栗東,13,12,8,49,10,0,33,8,39,5,62,9,20,4,0.159,0.305,0.402,28299.1
10,01062,藤岡健一,栗東,13,10,6,63,13,1,26,5,53,7,60,11,32,2,0.141,0.25,0.315,35739.0
11,01022,石坂正,栗東,12,14,13,66,5,0,21,4,79,8,53,5,52,7,0.114,0.248,0.371,21388.6
12,01027,田村康仁,美浦,12,10,8,80,2,1,14,1,94,10,38,3,65,8,0.109,0.2,0.273,18251.1
13,01128,今野貞一,栗東,12,6,5,64,4,0,18,1,65,11,48,4,39,8,0.138,0.207,0.264,14694.8
14,01070,堀宣行,美浦,12,5,6,44,13,0,17,2,37,10,37,4,30,8,0.179,0.254,0.343,21175.7
15,01105,須貝尚介,栗東,11,17,13,77,7,1,44,6,67,4,86,11,32,0,0.093,0.237,0.347,30393.7
16,01117,高野友和,栗東,11,16,8,47,6,1,21,2,55,8,56,10,26,1,0.134,0.329,0.427,22950.5
17,01002,音無秀孝,栗東,11,12,8,94,20,1,35,4,70,6,58,6,65,5,0.088,0.184,0.248,31168.8
18,01059,加藤征弘,美浦,11,9,6,54,7,2,14,2,59,7,19,2,61,9,0.138,0.25,0.325,29623.1
19,01079,古賀慎明,美浦,11,8,6,59,6,0,9,3,69,8,44,4,39,7,0.131,0.226,0.298,13021.0
